nohup: ignoring input
/home/rpi/boardcast_device/boardcast_device.py:130: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client(client_id=DEVICE_ID)
2025-07-02T10:09:30Z [INFO] MQTT connected
2025-07-02T10:09:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:09:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:09:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:09:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:09:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:09:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:06Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:11Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:16Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:10:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:11:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:12:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:13:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:14:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:15:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:09Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:14Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:19Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:24Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:29Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:34Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:39Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:44Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:49Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:54Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:16:59Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:04Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:10Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:15Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:20Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:25Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:30Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:35Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:40Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:45Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:50Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:17:55Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:00Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:05Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:10Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:15Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:20Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:25Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:30Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:35Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:40Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:45Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:50Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:18:55Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:00Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:05Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:10Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:15Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:19:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:06Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:11Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:16Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:36Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:41Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:46Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:51Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:20:56Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:01Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:06Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:11Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:16Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:21Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:26Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:31Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:21:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:22:57Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:02Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:07Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:12Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:17Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:22Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:27Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:32Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:37Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:42Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:47Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:52Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:23:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:53Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:24:58Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:03Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:08Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:13Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:18Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:23Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:28Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:33Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:38Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:43Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:48Z [INFO] Published to /boardcast/station-00005
2025-07-02T10:25:53Z [INFO] Published to /boardcast/station-00005
